,latitude,longitude,city,num
205,-4.046039,137.527542,Ilaga,1
206,-4.027289,138.806534,Jayawijaya district,1
207,-4.009622,119.629062,Parepare,1
208,-4.000079,137.113416,Tembagapura,1
209,-3.983728,138.31722,Lany Jaya district,1
210,-3.983689,137.601627,Eronggobak,1
211,-3.976095,137.619808,Ilaga,1
212,-3.974111,137.647978,Kimak,1
213,-3.97119,138.32666,Lany Jaya,1
214,-3.971033,138.319028,Lanny Jaya district,1
215,-3.95,137.4,Ilaga,1
216,-3.947906,138.274787,Lanny Jaya district,1
217,-3.946428,138.274786,Lanny Jaya district,1
218,-3.930973,136.375962,Enarotali,1
219,-3.903211,134.432709,Mur II,1
220,-3.843359,137.738418,Sinak,1
221,-3.8395,137.1667,Julukoma,1
222,-3.831431,137.850915,Puncak district,1
223,-3.817414,137.425496,Beoga,2
224,-3.817191,137.331508,Beoga,5
225,-3.808717,137.243537,Dambet,1
226,-3.805084,137.844862,Sinak,1
227,-3.800432,137.518192,Puncak district,1
228,-3.798243,137.783489,Sinak,1
229,-3.798243,137.783489,Sinak district,1
230,-3.789112,138.589455,Unknown,1
231,-3.787644,136.362469,Bokoa,1
232,-3.783834,137.931715,Yambi,1
233,-3.763848,137.086333,Ugimba,1
234,-3.738542,136.985369,Mamba,1
235,-3.72452,138.077872,Tinggineri,1
236,-3.72402,138.062184,Dangobak,1
237,-3.723046,138.060681,Gurage,1
238,-3.721569,138.060511,Tigginambut,1
239,-3.721569,138.060511,Tingginambut,2
240,-3.718583,138.061641,Tingginambut,1
241,-3.718056,136.668056,Bilogai,1
242,-3.712547,137.981064,Mulia,1
243,-3.709348,137.975013,Mulia,1
244,-3.707427,128.169958,Ambon,1
245,-3.707248,138.06826,Tingginambut,1
246,-3.703457,138.207886,Wurak,1
247,-3.688889,128.186389,Soya,1
248,-3.685745,128.189063,Tansoa,1
249,-3.684015,138.479002,Karubaga,3
250,-3.68219,137.493137,Sinak,1
251,-3.679433,128.2269,Batu Merah village,1
252,-3.672581,137.964443,Wuyukwi,1
253,-3.662747,128.167873,Maluku,2
254,-3.648426,128.16576,Ambon,14
255,-3.643903,136.679721,Pagamba,1
256,-3.619422,136.906802,Kulapa,1
257,-3.599826,138.100202,Torere,1
258,-3.572643,128.659307,Saparua,1
259,-3.566108,128.321111,Waai,1
260,-3.560226,126.546719,Waimulang,1
261,-3.507642,136.747849,Intan Jaya district,3
262,-3.506861,136.752061,Intan Jaya district,1
263,-3.41016,136.70837,Intan Jaya district,2
264,-3.389506,127.980532,Kulur,1
265,-3.341638,128.352878,Kairatu,2
266,-3.34111,128.923529,Amahai,3
267,-3.332054,128.366703,Uraur,1
268,-3.30606,128.961589,Masohi,1
269,-3.29669,129.527507,Utta,1
270,-3.296667,102.861667,Lubuk Linggau,1
271,-3.228271,130.131225,Bia,1
272,-3.225511,116.240797,Hilir Muara,1
273,-3.016831,130.332522,Unknown,1
274,-3.0,120.2,Palopo,2
275,-2.990934,104.756556,Palembang,1
276,-2.961944,122.297222,Tangofa,1
277,-2.945536,140.973754,Skopro,1
278,-2.794995,129.493398,Wahai,2
279,-2.686374,140.814829,Arso District,1
280,-2.678314,115.117765,Daha Selatan,1
281,-2.662539,140.699787,Abepura,2
282,-2.541653,140.706078,Jayapura,1
283,-2.534382,140.709304,Unknown,2
284,-2.533333,112.95,Sampit,1
285,-2.533126,137.763757,Namuni Kampong,1
286,-2.533,140.717,Jayapura,1
287,-2.533,140.717,None,1
288,-2.533,140.717,Unknown,1
289,-2.532431,140.71654,Jayapura,1
290,-2.528781,140.713463,Jayapura,6
291,-2.143056,120.728611,Mayoa,1
292,-2.116667,133.533333,Bintuni,1
293,-1.893291,120.825798,Taripa,1
294,-1.868727,138.743607,Sarmi,1
295,-1.763255,120.640908,Tentena,2
296,-1.753123,120.643559,Lembah Napu,1
