iyear,longitude,latitude,radius
1976,121.77,12.88,4.850147602
1976,-8.22,39.4,2.098612289
1976,22.94,-30.56,1.693147181
1976,-3.75,40.46,3.833213344
1976,39,34.8,2.609437912
1976,35.24,38.96,2.945910149
1976,-3.44,55.38,6.575949103
1976,-95.71,37.09,2.386294361
1976,10.45,51.17,2.386294361
1977,-63.62,-38.42,2.945910149
1977,14.55,47.52,1
1977,-74.3,4.57,4.63758616
1977,42.59,11.83,1
1977,-78.18,-1.83,1
1977,30.8,26.82,1
1977,-88.9,13.79,2.386294361
1977,40.49,9.15,2.609437912
1977,2.21,46.23,2.098612289
1977,21.82,39.07,1
1977,-90.23,15.78,2.791759469
1977,113.92,-0.79,1
1977,53.69,32.43,1.693147181
1977,-8.24,53.41,1.693147181
1977,34.85,31.05,2.609437912
1977,12.57,41.87,4.218875825
1977,35.86,33.85,2.098612289
1977,101.98,4.21,5.605170186
1977,14.38,35.94,1
1977,-102.55,23.63,3.397895273
1977,5.29,52.13,3.197224577
1977,-85.21,12.87,4.258096538
1977,22.94,-30.56,2.609437912
1977,-3.75,40.46,4.784189634
1977,39,34.8,1
1977,100.99,15.87,1
1977,35.24,38.96,4.36729583
1977,53.85,23.42,1
1977,-3.44,55.38,5.634728988
1977,-95.71,37.09,2.609437912
1977,-66.59,6.42,1
1977,10.45,51.17,2.791759469
1977,121.02,14.48,1
1977,21.76,-4.04,1
1977,27.85,-13.13,1
1978,-63.62,-38.42,3.564949357
1978,133.78,-25.27,1.693147181
1978,4.47,50.5,1
1978,-51.93,-14.24,1
1978,104.55,11.33,1
1978,-74.3,4.57,5.262679877
1978,33.43,35.13,3.772588722
1978,-0.19,51.52,2.098612289
1978,-78.18,-1.83,1.693147181
1978,30.8,26.82,1.693147181
1978,-88.9,13.79,4.496507561
1978,40.49,9.15,4.218875825
1978,2.21,46.23,4.044522438
1978,-90.23,15.78,4.555348061
1978,-58.93,4.86,2.609437912
1978,53.69,32.43,7.102558595
1978,-8.24,53.41,1
